      Freq,    Re(Vin),    Im(Vin),   Re(Vout),   Im(Vout),    Re(Iin),    Im(Iin),   Re(Iout),   Im(Iout),    Re(Pin),    Im(Pin),   Re(Zout),   Im(Zout),   Re(Pout),   Im(Pout),    Re(Zin),    Im(Zin),     Re(Av),     Im(Av),     Re(Ai),     Im(Ai), 
        Hz,          V,          V,          V,          V,          A,          A,          A,          A,          W,          W,       Ohms,       Ohms,          W,          W,       Ohms,       Ohms,           ,           ,           ,           , 
 1.000E+01,  2.700E+00,  0.000E+00,  5.000E-01,  0.000E+00,  4.600E-02,  0.000E+00,  6.667E-03,  0.000E+00,  1.242E-01,  0.000E+00,  9.375E+01,  0.000E+00,  3.333E-03,  0.000E+00,  5.870E+01,  0.000E+00,  1.852E-01,  0.000E+00,  1.449E-01,  0.000E+00, 
 1.111E+06,  2.700E+00,  0.000E+00,  5.000E-01,  0.000E+00,  4.600E-02,  0.000E+00,  6.667E-03,  0.000E+00,  1.242E-01,  0.000E+00,  9.375E+01,  0.000E+00,  3.333E-03,  0.000E+00,  5.870E+01,  0.000E+00,  1.852E-01,  0.000E+00,  1.449E-01,  0.000E+00, 
 2.222E+06,  2.700E+00,  0.000E+00,  5.000E-01,  0.000E+00,  4.600E-02,  0.000E+00,  6.667E-03,  0.000E+00,  1.242E-01,  0.000E+00,  9.375E+01,  0.000E+00,  3.333E-03,  0.000E+00,  5.870E+01,  0.000E+00,  1.852E-01,  0.000E+00,  1.449E-01,  0.000E+00, 
 3.333E+06,  2.700E+00,  0.000E+00,  5.000E-01,  0.000E+00,  4.600E-02,  0.000E+00,  6.667E-03,  0.000E+00,  1.242E-01,  0.000E+00,  9.375E+01,  0.000E+00,  3.333E-03,  0.000E+00,  5.870E+01,  0.000E+00,  1.852E-01,  0.000E+00,  1.449E-01,  0.000E+00, 
 4.444E+06,  2.700E+00,  0.000E+00,  5.000E-01,  0.000E+00,  4.600E-02,  0.000E+00,  6.667E-03,  0.000E+00,  1.242E-01,  0.000E+00,  9.375E+01,  0.000E+00,  3.333E-03,  0.000E+00,  5.870E+01,  0.000E+00,  1.852E-01,  0.000E+00,  1.449E-01,  0.000E+00, 
 5.556E+06,  2.700E+00,  0.000E+00,  5.000E-01,  0.000E+00,  4.600E-02,  0.000E+00,  6.667E-03,  0.000E+00,  1.242E-01,  0.000E+00,  9.375E+01,  0.000E+00,  3.333E-03,  0.000E+00,  5.870E+01,  0.000E+00,  1.852E-01,  0.000E+00,  1.449E-01,  0.000E+00, 
 6.667E+06,  2.700E+00,  0.000E+00,  5.000E-01,  0.000E+00,  4.600E-02,  0.000E+00,  6.667E-03,  0.000E+00,  1.242E-01,  0.000E+00,  9.375E+01,  0.000E+00,  3.333E-03,  0.000E+00,  5.870E+01,  0.000E+00,  1.852E-01,  0.000E+00,  1.449E-01,  0.000E+00, 
 7.778E+06,  2.700E+00,  0.000E+00,  5.000E-01,  0.000E+00,  4.600E-02,  0.000E+00,  6.667E-03,  0.000E+00,  1.242E-01,  0.000E+00,  9.375E+01,  0.000E+00,  3.333E-03,  0.000E+00,  5.870E+01,  0.000E+00,  1.852E-01,  0.000E+00,  1.449E-01,  0.000E+00, 
 8.889E+06,  2.700E+00,  0.000E+00,  5.000E-01,  0.000E+00,  4.600E-02,  0.000E+00,  6.667E-03,  0.000E+00,  1.242E-01,  0.000E+00,  9.375E+01,  0.000E+00,  3.333E-03,  0.000E+00,  5.870E+01,  0.000E+00,  1.852E-01,  0.000E+00,  1.449E-01,  0.000E+00, 
 1.000E+07,  2.700E+00,  0.000E+00,  5.000E-01,  0.000E+00,  4.600E-02,  0.000E+00,  6.667E-03,  0.000E+00,  1.242E-01,  0.000E+00,  9.375E+01,  0.000E+00,  3.333E-03,  0.000E+00,  5.870E+01,  0.000E+00,  1.852E-01,  0.000E+00,  1.449E-01,  0.000E+00, 
